ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Iniciativa,Tipo de Unidad Atacada,Grupo Armado 1,Descripción Grupo Armado 1,Grupo Armado 2,Descripción Grupo Armado 2,Grupo Armado 3,Descripción Grupo Armado 3,Lesionados Civiles,Grupo al que Pertenecen los Capturados,Capturados,Lesionados Combatientes,Militares,Policías,Otras Fuerzas Armadas Estatales,Agentes del Estado Sin Información,Total Agentes del Estado,Guerrilleros,Paramilitares,Grupos Posdesmovilización,Combatientes Sin Información,Otros Grupos Armados Organizados,Total Combatientes de Grupos Armados Organizados,Total Combatientes,Personas Sin Información,Total Civiles,Ventaja Militar,Total de Víctimas del Caso,latitud-longitud
14894,,2000,11,8,54810,TIBU,NORTE DE SANTANDER,CATATUMBO,COMBATE Y/O CONTACTO ARMADO,NINGUNO,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-72.79925855 8.713507237)
14895,,2000,11,8,68615,RIONEGRO,SANTANDER,MAGDALENA MEDIO,COMBATE Y/O CONTACTO ARMADO,NINGUNO,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-73.37246417 7.474226085)
14896,,2000,11,8,73616,RIOBLANCO,TOLIMA,SUR DEL TOLIMA,HOSTIGAMIENTO,NINGUNO,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-75.85481103 3.468077548)
14897,,2000,11,8,81736,SARAVENA,ARAUCA,SARARE,HOSTIGAMIENTO,NINGUNO,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-71.85070757 6.906941714)
14898,,2000,11,9,86865,VALLE DEL GUAMUEZ,PUTUMAYO,BAJO PUTUMAYO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,FUERZAS ARMADAS ESTATALES,2,POINT (-76.77067026 0.42012589)
14899,,2000,11,9,81736,SARAVENA,ARAUCA,SARARE,HOSTIGAMIENTO,NINGUNO,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-71.85070757 6.906941714)
149,,1958,1,17,50689,SAN MARTIN,META,PIEDEMONTE LLANERO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,BANDOLERISMO,BANDOLERISMO LIBERAL,,,0,,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,FUERZAS ARMADAS ESTATALES,3,POINT (-72.65672742 3.515860962)
1490,,1977,12,7,68773,SUCRE,SANTANDER,PROVINCIA DE VELEZ,ATAQUE A INSTALACIÓN DE LAS FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN INFORMACIÓN,0,POINT (-73.95936235 5.983203734)
14900,,2000,11,9,73870,VILLAHERMOSA,TOLIMA,NORTE DEL TOLIMA,HOSTIGAMIENTO,NINGUNO,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-75.15592969 4.965753461)
14901,CR018611,2000,11,9,52683,SANDONA,NARIÑO,CENTRO DE NARIÑO,OPERACIÓN MILITAR,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0,ELN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUERZAS ARMADAS ESTATALES,0,POINT (-77.45670068 1.288105409)
14902,CR021586,2000,11,10,13442,MARIA LA BAJA,BOLIVAR,MONTES DE MARIA,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,INFANTERÍA DE MARINA,GUERRILLA,ELN,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FUERZAS ARMADAS ESTATALES,0,POINT (-75.34380265 9.976017168)
14903,,2000,11,10,81065,ARAUQUITA,ARAUCA,SARARE,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,3,2,0,0,0,2,0,0,0,0,0,0,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,POINT (-71.29827429 6.799338394)
14904,,2000,11,10,86219,COLON,PUTUMAYO,ALTO PUTUMAYO,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-76.97376805 1.204815876)
14905,,2000,11,10,19698,SANTANDER DE QUILICHAO,CAUCA,NORTE DEL CAUCA,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-76.49873145 2.984467338)
14906,,2000,11,10,86760,SANTIAGO,PUTUMAYO,ALTO PUTUMAYO,HOSTIGAMIENTO,NINGUNO,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-76.97751684 1.036021482)
